Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
64.0, 95090.6464565571, 89671.53306860126, 94954.94901596893, 99463.72055574901, 80247.43410914352, 86417.00731718628, 85448.43917470446, 83171.5787257646, 111047.80269238981, 94292.08568240234, 49626.57238561778, 87198.334896366, 105245.84862540348, 101117.90610765292, 87977.09202493334, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 41.0, 30.0, 0.0, 0.0, 0.0, 1.6558068683731117E9, 0.0, 2022-06-21 19:21:08.373
66.0, 95047.4852380139, 89508.20887186634, 97957.7717730727, 100834.32952574844, 80265.2931529633, 86392.77802619673, 86083.69810386874, 83428.0426416448, 111888.22828390937, 98060.142762678, 54183.668396910245, 94700.94379197882, 105240.61831720095, 101259.72792622185, 89263.30080786954, -187027.640584426, 0.0, 0.0, 0.0, 196.0, 0.0, 88.0, 0.0, 121.0, 41.0, 38.0, 0.0, 0.0, 0.0, 1.6558068683811884E9, 0.0, 2022-06-21 19:21:08.381
68.0, 95109.3995701551, 89639.74888798581, 94280.17220260766, 99114.72041782385, 80258.38646392661, 86416.58263404162, 85231.40373604343, 83051.5051545507, 111078.08930612676, 94608.38521818939, 50378.842697005595, 87781.98364758297, 105242.16058756836, 101112.42993026137, 88015.55937714093, -187488.37709288325, 0.0, 0.0, 0.0, 196.0, 17.0, 184.0, 0.0, 121.0, 41.0, 46.0, 0.0, 0.0, 0.0, 1.6558068683903377E9, 0.0, 2022-06-21 19:21:08.390
70.0, 95021.6242696791, 89514.31089810263, 98557.02204191948, 101139.45318930784, 80269.8976123211, 86394.05207563068, 86302.61108906401, 83558.1744978636, 111841.22256531985, 97688.52265936407, 53419.93164061686, 94051.29033938532, 105246.7426951817, 101254.56467325267, 89230.55550224251, -187059.08948887463, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 41.0, 54.0, 0.0, 0.0, 0.0, 1.6558068683962076E9, 0.0, 2022-06-21 19:21:08.396
72.0, 95122.87767206164, 89619.36409704258, 93720.3727627245, 98836.79882726655, 80258.63233311562, 86416.15795089697, 85004.9135094778, 82919.74162098666, 111171.31843224984, 95067.91473244605, 51252.32651857454, 88603.65612550451, 105234.67275317584, 101112.49698549474, 88084.44745355219, -187389.96236204653, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 41.0, 62.0, 0.0, 0.0, 0.0, 1.6558068684053075E9, 0.0, 2022-06-21 19:21:08.405
74.0, 95023.77003714682, 89577.56633491116, 98998.93838154536, 101363.35061351665, 80268.46710067596, 86391.57103199614, 86482.1626522735, 83659.9419903686, 111724.63586624098, 97211.60348792118, 52495.418786456445, 93160.64037807469, 105251.28009930612, 101246.71921094885, 89148.50224834708, -187167.1154698271, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 41.0, 70.0, 0.0, 0.0, 0.0, 1.6558068684132264E9, 0.0, 2022-06-21 19:21:08.413
76.0, 95139.79794261431, 89571.6431226305, 93353.84885714637, 98638.49415045908, 80260.33106569422, 86406.09966589209, 84851.84876344785, 82823.58441633993, 111257.8643867808, 95589.29152361055, 52155.22523584667, 89567.46334641735, 105230.64943917388, 101118.4201977754, 88188.561879225, -187342.33079461227, 0.0, 0.0, 0.0, 196.0, 0.0, 112.0, 0.0, 121.0, 41.0, 78.0, 0.0, 0.0, 0.0, 1.6558068684211924E9, 0.0, 2022-06-21 19:21:08.421
78.0, 95004.14520551506, 89572.55954415316, 99267.22637024241, 101515.02955139037, 80256.93360053701, 86411.06175316116, 86600.38102869762, 83742.39757566423, 111616.36401609947, 96655.17916145077, 51573.23051371938, 92136.61755759925, 105261.98658490022, 101250.60841448409, 89026.6628893212, -187196.97740041942, 0.0, 0.0, 0.0, 196.0, 17.0, 152.0, 0.0, 121.0, 41.0, 86.0, 0.0, 0.0, 0.0, 1.655806868429184E9, 0.0, 2022-06-21 19:21:08.429
80.0, 95141.89900659311, 89552.15240146547, 93192.60337264578, 98550.74120172753, 80267.50597566438, 86408.55835778217, 84746.14736391872, 82763.01118886605, 111351.76406523754, 96161.0491467773, 53058.70509847464, 90648.86309490957, 105222.96043908125, 101144.39292483246, 88324.16991283535, -187291.36881725417, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 41.0, 94.0, 0.0, 0.0, 0.0, 1.6558068684372034E9, 0.0, 2022-06-21 19:21:08.437
82.0, 94969.43294637596, 89606.64595444751, 99346.61976654766, 101567.4220403936, 80253.37967316863, 86416.26970961926, 86671.81720397678, 83796.19822456816, 111499.37498562038, 96084.85204992915, 50684.12282277618, 91047.34999505879, 105263.61826224545, 101219.78535888021, 88879.76722476093, -187225.76644727786, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 121.0, 41.0, 102.0, 0.0, 0.0, 0.0, 1.6558068684462202E9, 0.0, 2022-06-21 19:21:08.446
