Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
60.0, 96287.60472388324, 91394.8749178499, 100221.64585848401, 102241.0812665321, 80979.67725749937, 87346.4152033824, 86449.52910536875, 83883.14651049931, 113772.36858276947, 96904.17759468289, 50075.28365555807, 90946.38716535416, 108073.25489202201, 105884.75088891399, 89137.46048658616, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 238.0, 0.0, 0.0, 0.0, 1.6558069914602048E9, 0.0, 2022-06-21 19:23:11.460
62.0, 96586.89458213981, 91437.34323231498, 93201.18644251663, 99300.55282122527, 81088.50790125226, 87481.88912652602, 84569.83680365524, 82725.90729307024, 113713.85171578548, 97658.39250783832, 54098.016512157505, 91836.79125747576, 108097.32772080037, 105856.72180136704, 88791.16490974008, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.0, 246.0, 0.0, 0.0, 0.0, 1.6558069914671113E9, 0.0, 2022-06-21 19:23:11.467
64.0, 96266.03529048388, 91405.31318251052, 100095.96199941183, 102185.6712920274, 80964.36631254748, 87345.94581674885, 86439.69433780841, 83902.7042868977, 113636.69349392576, 96224.57280451928, 49040.353183788444, 89725.98191809439, 108098.19943883413, 105889.33299652732, 88994.07404590536, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 9.5, 126.0, 0.0, 0.0, 0.0, 1.655806991474136E9, 0.0, 2022-06-21 19:23:11.474
66.0, 96570.22018077614, 91406.96721160022, 93521.10696090544, 99425.92375587509, 81089.37961928602, 87477.5528881017, 84616.84252224475, 82735.78676411949, 113857.28285995519, 98300.4016638281, 54999.7305869735, 92993.40462606009, 108061.96726107207, 105848.47400766303, 88935.02073705444, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 104.0, 0.0, 123.0, 10.0, 6.0, 0.0, 0.0, 0.0, 1.6558069914822323E9, 0.0, 2022-06-21 19:23:11.482
68.0, 96270.1703632081, 91432.89523516837, 99735.85304449238, 102033.41120879784, 80967.56261200459, 87344.42589812588, 86371.1862410529, 83878.00560927458, 113513.15540232128, 95599.90860222682, 48223.39692394697, 88592.34614281013, 108125.89325021426, 105898.74308094301, 88851.17934360259, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 17.0, 144.0, 0.0, 123.0, 10.0, 14.0, 0.0, 0.0, 0.0, 1.6558069914922166E9, 0.0, 2022-06-21 19:23:11.492
70.0, 96549.63422413281, 91389.57755441399, 94051.71502252997, 99649.97764229508, 81094.27465132173, 87476.25648692329, 84724.17559911915, 82789.76622697905, 113963.65481181799, 98841.49269360218, 55677.480182347324, 94015.8404726792, 108037.15682472668, 105858.55464441236, 89075.59085793387, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 10.0, 22.0, 0.0, 0.0, 0.0, 1.6558069914982774E9, 0.0, 2022-06-21 19:23:11.498
72.0, 96280.92155229111, 91475.40825312237, 99171.78442141824, 101804.23877289759, 80988.90852795941, 87374.2207734848, 86282.0698359096, 83847.33901588191, 113385.48223799256, 95073.48031681542, 47623.163178344155, 87620.82757006021, 108154.01174473904, 105901.78291818892, 88717.27004257085, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 10.0, 30.0, 0.0, 0.0, 0.0, 1.6558069915063229E9, 0.0, 2022-06-21 19:23:11.506
74.0, 96529.3835436563, 91355.84877203093, 94768.24489453375, 99943.6348609489, 81080.2377558038, 87460.85613499358, 84880.14607192828, 82865.2033645157, 114064.48353105588, 99281.10680354915, 56085.734794823504, 94827.07468594011, 108029.49017637852, 105861.236853747, 89214.32813576797, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 0.0, 0.0, 123.0, 10.0, 38.0, 0.0, 0.0, 0.0, 1.655806991514295E9, 0.0, 2022-06-21 19:23:11.514
76.0, 96304.05560780235, 91473.91068624386, 98426.75607523395, 101481.65839691859, 80979.99018192175, 87376.3218374636, 86072.45517640772, 83741.34704367483, 113294.62239678174, 94703.20131816881, 47336.30089000474, 86894.32882002936, 108168.45097165716, 105889.71297618306, 88572.31897977818, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 0.0, 88.0, 0.0, 123.0, 10.0, 46.0, 0.0, 0.0, 0.0, 1.655806991522311E9, 0.0, 2022-06-21 19:23:11.522
78.0, 96506.29419163396, 91343.04122245804, 95617.78999779106, 100296.16657449801, 81069.95595335437, 87446.90864645346, 85082.71993192672, 82986.2380607412, 114137.439624958, 99567.9020366552, 56224.22620346859, 95404.39789347624, 108017.3978826282, 105855.02306878842, 89314.7321718612, -187500.02235174447, 0.0, 0.0, 0.0, 196.0, 17.0, 160.0, 0.0, 123.0, 10.0, 54.0, 0.0, 0.0, 0.0, 1.6558069915293796E9, 0.0, 2022-06-21 19:23:11.529
